Point_Index,DFCC_Chainage_Meters,DFCC_Chainage_Formatted,Relative_Distance_Meters,UTM_Zone,UTM_Easting,UTM_Northing,Latitude,Longitude
67,1076670.00,CH 1076+670,670.00,43N,738868.930,3320871.150,29.99552662,77.47616888
68,1076680.00,CH 1076+680,680.00,43N,738860.241,3320876.101,29.99557295,77.47607999
69,1076690.00,CH 1076+690,690.00,43N,738851.553,3320881.052,29.99561928,77.47599111
70,1076700.00,CH 1076+700,700.00,43N,738842.864,3320886.002,29.99566561,77.47590222
71,1076710.00,CH 1076+710,710.00,43N,738834.175,3320890.953,29.99571194,77.47581333
72,1076720.00,CH 1076+720,720.00,43N,738825.487,3320895.903,29.99575827,77.47572444
73,1076730.00,CH 1076+730,730.00,43N,738816.798,3320900.854,29.99580460,77.47563555
74,1076740.00,CH 1076+740,740.00,43N,738808.110,3320905.805,29.99585093,77.47554666
75,1076750.00,CH 1076+750,750.00,43N,738799.421,3320910.755,29.99589726,77.47545777
76,1076760.00,CH 1076+760,760.00,43N,738790.733,3320915.706,29.99594358,77.47536888
77,1076770.00,CH 1076+770,770.00,43N,738782.044,3320920.657,29.99598991,77.47527999
78,1076780.00,CH 1076+780,780.00,43N,738773.355,3320925.607,29.99603624,77.47519110
79,1076790.00,CH 1076+790,790.00,43N,738764.667,3320930.558,29.99608257,77.47510221
80,1076800.00,CH 1076+800,800.00,43N,738755.978,3320935.508,29.99612890,77.47501332
81,1076810.00,CH 1076+810,810.00,43N,738747.290,3320940.459,29.99617523,77.47492443
82,1076820.00,CH 1076+820,820.00,43N,738738.601,3320945.410,29.99622156,77.47483554
83,1076830.00,CH 1076+830,830.00,43N,738729.913,3320950.360,29.99626788,77.47474665
84,1076840.00,CH 1076+840,840.00,43N,738721.224,3320955.311,29.99631421,77.47465776
85,1076850.00,CH 1076+850,850.00,43N,738712.535,3320960.262,29.99636054,77.47456887
86,1076860.00,CH 1076+860,860.00,43N,738703.847,3320965.212,29.99640687,77.47447998
87,1076870.00,CH 1076+870,870.00,43N,738695.158,3320970.163,29.99645320,77.47439109
88,1076880.00,CH 1076+880,880.00,43N,738686.470,3320975.113,29.99649953,77.47430220
89,1076890.00,CH 1076+890,890.00,43N,738677.781,3320980.064,29.99654585,77.47421331
90,1076900.00,CH 1076+900,900.00,43N,738669.093,3320985.015,29.99659218,77.47412442
91,1076910.00,CH 1076+910,910.00,43N,738660.404,3320989.965,29.99663851,77.47403553
92,1076920.00,CH 1076+920,920.00,43N,738651.715,3320994.916,29.99668484,77.47394664
93,1076930.00,CH 1076+930,930.00,43N,738643.027,3320999.867,29.99673116,77.47385775
94,1076940.00,CH 1076+940,940.00,43N,738634.338,3321004.817,29.99677749,77.47376885
95,1076950.00,CH 1076+950,950.00,43N,738625.650,3321009.768,29.99682382,77.47367996
96,1076960.00,CH 1076+960,960.00,43N,738616.961,3321014.718,29.99687015,77.47359107
97,1076970.00,CH 1076+970,970.00,43N,738608.273,3321019.669,29.99691648,77.47350218
98,1076980.00,CH 1076+980,980.00,43N,738599.584,3321024.620,29.99696280,77.47341329
99,1076990.00,CH 1076+990,990.00,43N,738590.895,3321029.570,29.99700913,77.47332440
100,1077000.00,CH 1077+000,1000.00,43N,738582.208,3321034.523,29.99705548,77.47323552
101,1077010.00,CH 1077+010,1010.00,43N,738573.636,3321039.672,29.99710357,77.47314788
