Point_Index,DFCC_Chainage_Meters,DFCC_Chainage_Formatted,Relative_Distance_Meters,UTM_Zone,UTM_Easting,UTM_Northing,Latitude,Longitude
2409,1100090.00,CH 1100+090,24090.00,43N,719903.213,3334229.836,30.11953706,77.28246470
2410,1100100.00,CH 1100+100,24100.00,43N,719895.086,3334235.663,30.11959108,77.28238162
2411,1100110.00,CH 1100+110,24110.00,43N,719886.960,3334241.491,30.11964509,77.28229854
2412,1100120.00,CH 1100+120,24120.00,43N,719878.833,3334247.318,30.11969911,77.28221546
2413,1100130.00,CH 1100+130,24130.00,43N,719870.707,3334253.146,30.11975312,77.28213237
2414,1100140.00,CH 1100+140,24140.00,43N,719862.581,3334258.974,30.11980713,77.28204929
2415,1100150.00,CH 1100+150,24150.00,43N,719854.454,3334264.801,30.11986115,77.28196621
2416,1100160.00,CH 1100+160,24160.00,43N,719846.328,3334270.629,30.11991516,77.28188313
2417,1100170.00,CH 1100+170,24170.00,43N,719838.201,3334276.457,30.11996918,77.28180004
2418,1100180.00,CH 1100+180,24180.00,43N,719830.075,3334282.284,30.12002319,77.28171696
2419,1100190.00,CH 1100+190,24190.00,43N,719821.949,3334288.112,30.12007721,77.28163388
2420,1100200.00,CH 1100+200,24200.00,43N,719813.822,3334293.940,30.12013122,77.28155079
2421,1100210.00,CH 1100+210,24210.00,43N,719805.696,3334299.767,30.12018524,77.28146771
2422,1100220.00,CH 1100+220,24220.00,43N,719797.569,3334305.595,30.12023925,77.28138463
2423,1100230.00,CH 1100+230,24230.00,43N,719789.443,3334311.422,30.12029327,77.28130154
2424,1100240.00,CH 1100+240,24240.00,43N,719781.316,3334317.250,30.12034728,77.28121846
2425,1100250.00,CH 1100+250,24250.00,43N,719773.190,3334323.078,30.12040129,77.28113538
2426,1100260.00,CH 1100+260,24260.00,43N,719764.807,3334328.453,30.12045128,77.28104954
2427,1100270.00,CH 1100+270,24270.00,43N,719755.636,3334332.441,30.12048889,77.28095524
2428,1100280.00,CH 1100+280,24280.00,43N,719746.466,3334336.428,30.12052650,77.28086094
2429,1100290.00,CH 1100+290,24290.00,43N,719737.295,3334340.416,30.12056411,77.28076665
2430,1100300.00,CH 1100+300,24300.00,43N,719728.125,3334344.403,30.12060171,77.28067235
2431,1100310.00,CH 1100+310,24310.00,43N,719718.954,3334348.391,30.12063932,77.28057805
2432,1100320.00,CH 1100+320,24320.00,43N,719709.784,3334352.379,30.12067693,77.28048376
2433,1100330.00,CH 1100+330,24330.00,43N,719700.613,3334356.366,30.12071454,77.28038946
2434,1100340.00,CH 1100+340,24340.00,43N,719691.442,3334360.354,30.12075215,77.28029516
2435,1100350.00,CH 1100+350,24350.00,43N,719682.272,3334364.341,30.12078976,77.28020087
2436,1100360.00,CH 1100+360,24360.00,43N,719673.101,3334368.329,30.12082737,77.28010657
2437,1100370.00,CH 1100+370,24370.00,43N,719663.931,3334372.316,30.12086498,77.28001227
2438,1100380.00,CH 1100+380,24380.00,43N,719654.760,3334376.304,30.12090259,77.27991798
2439,1100390.00,CH 1100+390,24390.00,43N,719645.590,3334380.292,30.12094020,77.27982368
2440,1100400.00,CH 1100+400,24400.00,43N,719636.419,3334384.279,30.12097781,77.27972938
2441,1100410.00,CH 1100+410,24410.00,43N,719627.248,3334388.267,30.12101542,77.27963509
2442,1100420.00,CH 1100+420,24420.00,43N,719618.078,3334392.254,30.12105303,77.27954079
2443,1100430.00,CH 1100+430,24430.00,43N,719608.907,3334396.242,30.12109064,77.27944649
2444,1100440.00,CH 1100+440,24440.00,43N,719599.737,3334400.229,30.12112824,77.27935220
2445,1100450.00,CH 1100+450,24450.00,43N,719590.566,3334404.217,30.12116585,77.27925790
2446,1100460.00,CH 1100+460,24460.00,43N,719581.396,3334408.205,30.12120346,77.27916360
2447,1100470.00,CH 1100+470,24470.00,43N,719572.225,3334412.192,30.12124107,77.27906930
2448,1100480.00,CH 1100+480,24480.00,43N,719563.054,3334416.180,30.12127868,77.27897501
2449,1100490.00,CH 1100+490,24490.00,43N,719553.884,3334420.167,30.12131629,77.27888071
2450,1100500.00,CH 1100+500,24500.00,43N,719544.713,3334424.155,30.12135390,77.27878641
2451,1100510.00,CH 1100+510,24510.00,43N,719535.543,3334428.142,30.12139150,77.27869211
2452,1100520.00,CH 1100+520,24520.00,43N,719526.372,3334432.130,30.12142911,77.27859781
2453,1100530.00,CH 1100+530,24530.00,43N,719517.202,3334436.118,30.12146672,77.27850352
2454,1100540.00,CH 1100+540,24540.00,43N,719508.031,3334440.105,30.12150433,77.27840922
2455,1100550.00,CH 1100+550,24550.00,43N,719498.861,3334444.093,30.12154194,77.27831492
2456,1100560.00,CH 1100+560,24560.00,43N,719489.690,3334448.080,30.12157955,77.27822062
2457,1100570.00,CH 1100+570,24570.00,43N,719480.519,3334452.068,30.12161715,77.27812632
2458,1100580.00,CH 1100+580,24580.00,43N,719471.349,3334456.055,30.12165476,77.27803203
2459,1100590.00,CH 1100+590,24590.00,43N,719462.178,3334460.043,30.12169237,77.27793773
2460,1100600.00,CH 1100+600,24600.00,43N,719453.008,3334464.031,30.12172998,77.27784343
2461,1100610.00,CH 1100+610,24610.00,43N,719443.837,3334468.018,30.12176759,77.27774913
2462,1100620.00,CH 1100+620,24620.00,43N,719434.667,3334472.006,30.12180519,77.27765483
2463,1100630.00,CH 1100+630,24630.00,43N,719425.496,3334475.993,30.12184280,77.27756053
2464,1100640.00,CH 1100+640,24640.00,43N,719416.325,3334479.981,30.12188041,77.27746623
2465,1100650.00,CH 1100+650,24650.00,43N,719407.155,3334483.968,30.12191802,77.27737193
2466,1100660.00,CH 1100+660,24660.00,43N,719397.984,3334487.956,30.12195562,77.27727764
2467,1100670.00,CH 1100+670,24670.00,43N,719388.814,3334491.944,30.12199323,77.27718334
2468,1100680.00,CH 1100+680,24680.00,43N,719379.643,3334495.931,30.12203084,77.27708904
2469,1100690.00,CH 1100+690,24690.00,43N,719370.473,3334499.919,30.12206844,77.27699474
2470,1100700.00,CH 1100+700,24700.00,43N,719361.302,3334503.906,30.12210605,77.27690044
2471,1100710.00,CH 1100+710,24710.00,43N,719352.131,3334507.894,30.12214366,77.27680614
2472,1100720.00,CH 1100+720,24720.00,43N,719342.961,3334511.881,30.12218127,77.27671184
2473,1100730.00,CH 1100+730,24730.00,43N,719333.790,3334515.869,30.12221887,77.27661754
2474,1100740.00,CH 1100+740,24740.00,43N,719324.620,3334519.857,30.12225648,77.27652324
2475,1100750.00,CH 1100+750,24750.00,43N,719315.449,3334523.844,30.12229409,77.27642894
2476,1100760.00,CH 1100+760,24760.00,43N,719306.279,3334527.832,30.12233169,77.27633464
2477,1100770.00,CH 1100+770,24770.00,43N,719297.108,3334531.819,30.12236930,77.27624034
2478,1100780.00,CH 1100+780,24780.00,43N,719287.938,3334535.807,30.12240691,77.27614604
2479,1100790.00,CH 1100+790,24790.00,43N,719278.767,3334539.794,30.12244451,77.27605174
2480,1100800.00,CH 1100+800,24800.00,43N,719269.596,3334543.782,30.12248212,77.27595744
2481,1100810.00,CH 1100+810,24810.00,43N,719260.426,3334547.770,30.12251973,77.27586314
2482,1100820.00,CH 1100+820,24820.00,43N,719251.255,3334551.757,30.12255733,77.27576884
2483,1100830.00,CH 1100+830,24830.00,43N,719242.085,3334555.745,30.12259494,77.27567454
2484,1100840.00,CH 1100+840,24840.00,43N,719232.914,3334559.732,30.12263255,77.27558024
2485,1100850.00,CH 1100+850,24850.00,43N,719223.744,3334563.720,30.12267015,77.27548594
2486,1100860.00,CH 1100+860,24860.00,43N,719214.573,3334567.707,30.12270776,77.27539164
2487,1100870.00,CH 1100+870,24870.00,43N,719205.402,3334571.695,30.12274536,77.27529734
2488,1100880.00,CH 1100+880,24880.00,43N,719196.232,3334575.683,30.12278297,77.27520304
2489,1100890.00,CH 1100+890,24890.00,43N,719187.061,3334579.670,30.12282058,77.27510874
2490,1100900.00,CH 1100+900,24900.00,43N,719177.891,3334583.658,30.12285818,77.27501444
2491,1100910.00,CH 1100+910,24910.00,43N,719168.720,3334587.645,30.12289579,77.27492014
2492,1100920.00,CH 1100+920,24920.00,43N,719159.550,3334591.633,30.12293339,77.27482584
2493,1100930.00,CH 1100+930,24930.00,43N,719150.379,3334595.620,30.12297100,77.27473154
2494,1100940.00,CH 1100+940,24940.00,43N,719141.208,3334599.608,30.12300860,77.27463723
2495,1100950.00,CH 1100+950,24950.00,43N,719132.038,3334603.596,30.12304621,77.27454293
2496,1100960.00,CH 1100+960,24960.00,43N,719122.867,3334607.583,30.12308382,77.27444863
2497,1100970.00,CH 1100+970,24970.00,43N,719113.697,3334611.571,30.12312142,77.27435433
2498,1100980.00,CH 1100+980,24980.00,43N,719104.526,3334615.558,30.12315903,77.27426003
2499,1100990.00,CH 1100+990,24990.00,43N,719095.353,3334619.539,30.12319657,77.27416569
2500,1101000.00,CH 1101+000,25000.00,43N,719086.176,3334623.513,30.12323405,77.27407133
2501,1101010.00,CH 1101+010,25010.00,43N,719077.000,3334627.487,30.12327154,77.27397696
2502,1101020.00,CH 1101+020,25020.00,43N,719067.823,3334631.461,30.12330903,77.27388260
2503,1101030.00,CH 1101+030,25030.00,43N,719058.647,3334635.436,30.12334651,77.27378824
2504,1101040.00,CH 1101+040,25040.00,43N,719049.471,3334639.410,30.12338400,77.27369387
2505,1101050.00,CH 1101+050,25050.00,43N,719040.294,3334643.384,30.12342148,77.27359951
2506,1101060.00,CH 1101+060,25060.00,43N,719031.118,3334647.358,30.12345897,77.27350514
2507,1101070.00,CH 1101+070,25070.00,43N,719021.942,3334651.332,30.12349645,77.27341078
2508,1101080.00,CH 1101+080,25080.00,43N,719012.765,3334655.307,30.12353394,77.27331641
2509,1101090.00,CH 1101+090,25090.00,43N,719003.589,3334659.281,30.12357142,77.27322205
2510,1101100.00,CH 1101+100,25100.00,43N,718994.413,3334663.255,30.12360891,77.27312768
2511,1101110.00,CH 1101+110,25110.00,43N,718985.236,3334667.229,30.12364639,77.27303332
2512,1101120.00,CH 1101+120,25120.00,43N,718976.060,3334671.203,30.12368388,77.27293895
2513,1101130.00,CH 1101+130,25130.00,43N,718966.883,3334675.178,30.12372136,77.27284458
2514,1101140.00,CH 1101+140,25140.00,43N,718957.707,3334679.152,30.12375885,77.27275022
2515,1101150.00,CH 1101+150,25150.00,43N,718948.531,3334683.126,30.12379633,77.27265585
2516,1101160.00,CH 1101+160,25160.00,43N,718939.354,3334687.100,30.12383382,77.27256149
2517,1101170.00,CH 1101+170,25170.00,43N,718930.178,3334691.074,30.12387130,77.27246712
2518,1101180.00,CH 1101+180,25180.00,43N,718921.002,3334695.049,30.12390879,77.27237276
2519,1101190.00,CH 1101+190,25190.00,43N,718911.825,3334699.023,30.12394627,77.27227839
2520,1101200.00,CH 1101+200,25200.00,43N,718902.649,3334702.997,30.12398375,77.27218402
2521,1101210.00,CH 1101+210,25210.00,43N,718893.472,3334706.971,30.12402124,77.27208966
2522,1101220.00,CH 1101+220,25220.00,43N,718884.296,3334710.945,30.12405872,77.27199529
2523,1101230.00,CH 1101+230,25230.00,43N,718875.120,3334714.920,30.12409621,77.27190093
2524,1101240.00,CH 1101+240,25240.00,43N,718865.943,3334718.894,30.12413369,77.27180656
2525,1101250.00,CH 1101+250,25250.00,43N,718856.767,3334722.868,30.12417118,77.27171219
2526,1101260.00,CH 1101+260,25260.00,43N,718847.591,3334726.842,30.12420866,77.27161783
2527,1101270.00,CH 1101+270,25270.00,43N,718838.414,3334730.816,30.12424614,77.27152346
2528,1101280.00,CH 1101+280,25280.00,43N,718829.238,3334734.791,30.12428363,77.27142909
2529,1101290.00,CH 1101+290,25290.00,43N,718820.062,3334738.765,30.12432111,77.27133473
2530,1101300.00,CH 1101+300,25300.00,43N,718810.885,3334742.739,30.12435860,77.27124036
2531,1101310.00,CH 1101+310,25310.00,43N,718801.709,3334746.713,30.12439608,77.27114599
2532,1101320.00,CH 1101+320,25320.00,43N,718792.532,3334750.687,30.12443356,77.27105163
2533,1101330.00,CH 1101+330,25330.00,43N,718783.356,3334754.662,30.12447105,77.27095726
2534,1101340.00,CH 1101+340,25340.00,43N,718774.180,3334758.636,30.12450853,77.27086289
2535,1101350.00,CH 1101+350,25350.00,43N,718765.003,3334762.610,30.12454601,77.27076853
2536,1101360.00,CH 1101+360,25360.00,43N,718755.827,3334766.584,30.12458350,77.27067416
2537,1101370.00,CH 1101+370,25370.00,43N,718746.651,3334770.558,30.12462098,77.27057979
2538,1101380.00,CH 1101+380,25380.00,43N,718737.474,3334774.533,30.12465846,77.27048542
2539,1101390.00,CH 1101+390,25390.00,43N,718728.298,3334778.507,30.12469595,77.27039106
2540,1101400.00,CH 1101+400,25400.00,43N,718719.122,3334782.481,30.12473343,77.27029669
2541,1101410.00,CH 1101+410,25410.00,43N,718709.945,3334786.455,30.12477091,77.27020232
2542,1101420.00,CH 1101+420,25420.00,43N,718700.714,3334790.299,30.12480723,77.27010736
2543,1101430.00,CH 1101+430,25430.00,43N,718691.474,3334794.124,30.12484338,77.27001230
2544,1101440.00,CH 1101+440,25440.00,43N,718682.234,3334797.949,30.12487953,77.26991725
2545,1101450.00,CH 1101+450,25450.00,43N,718672.995,3334801.774,30.12491567,77.26982219
2546,1101460.00,CH 1101+460,25460.00,43N,718663.755,3334805.599,30.12495182,77.26972714
2547,1101470.00,CH 1101+470,25470.00,43N,718654.515,3334809.423,30.12498797,77.26963208
2548,1101480.00,CH 1101+480,25480.00,43N,718645.276,3334813.248,30.12502411,77.26953703
2549,1101490.00,CH 1101+490,25490.00,43N,718636.036,3334817.073,30.12506026,77.26944197
2550,1101500.00,CH 1101+500,25500.00,43N,718626.797,3334820.898,30.12509641,77.26934691
2551,1101510.00,CH 1101+510,25510.00,43N,718617.557,3334824.722,30.12513255,77.26925186
2552,1101520.00,CH 1101+520,25520.00,43N,718608.317,3334828.547,30.12516870,77.26915680
2553,1101530.00,CH 1101+530,25530.00,43N,718599.078,3334832.372,30.12520485,77.26906175
2554,1101540.00,CH 1101+540,25540.00,43N,718589.838,3334836.197,30.12524099,77.26896669
2555,1101550.00,CH 1101+550,25550.00,43N,718580.598,3334840.021,30.12527714,77.26887164
2556,1101560.00,CH 1101+560,25560.00,43N,718571.359,3334843.848,30.12531330,77.26877659
2557,1101570.00,CH 1101+570,25570.00,43N,718562.122,3334847.679,30.12534950,77.26868156
2558,1101580.00,CH 1101+580,25580.00,43N,718552.885,3334851.509,30.12538570,77.26858653
2559,1101590.00,CH 1101+590,25590.00,43N,718543.648,3334855.340,30.12542190,77.26849150
2560,1101600.00,CH 1101+600,25600.00,43N,718534.411,3334859.171,30.12545809,77.26839647
2561,1101610.00,CH 1101+610,25610.00,43N,718525.173,3334863.001,30.12549429,77.26830144
2562,1101620.00,CH 1101+620,25620.00,43N,718515.936,3334866.832,30.12553049,77.26820641
2563,1101630.00,CH 1101+630,25630.00,43N,718506.699,3334870.663,30.12556669,77.26811138
2564,1101640.00,CH 1101+640,25640.00,43N,718497.462,3334874.493,30.12560289,77.26801635
2565,1101650.00,CH 1101+650,25650.00,43N,718488.225,3334878.324,30.12563909,77.26792132
2566,1101660.00,CH 1101+660,25660.00,43N,718478.987,3334882.155,30.12567528,77.26782629
2567,1101670.00,CH 1101+670,25670.00,43N,718469.750,3334885.985,30.12571148,77.26773126
2568,1101680.00,CH 1101+680,25680.00,43N,718460.513,3334889.816,30.12574768,77.26763623
2569,1101690.00,CH 1101+690,25690.00,43N,718451.272,3334893.637,30.12578379,77.26754116
2570,1101700.00,CH 1101+700,25700.00,43N,718442.028,3334897.453,30.12581985,77.26744606
2571,1101710.00,CH 1101+710,25710.00,43N,718432.785,3334901.268,30.12585591,77.26735096
2572,1101720.00,CH 1101+720,25720.00,43N,718423.541,3334905.083,30.12589197,77.26725586
2573,1101730.00,CH 1101+730,25730.00,43N,718414.297,3334908.898,30.12592803,77.26716076
2574,1101740.00,CH 1101+740,25740.00,43N,718405.054,3334912.714,30.12596409,77.26706566
2575,1101750.00,CH 1101+750,25750.00,43N,718395.810,3334916.529,30.12600015,77.26697056
2576,1101760.00,CH 1101+760,25760.00,43N,718386.567,3334920.344,30.12603621,77.26687546
2577,1101770.00,CH 1101+770,25770.00,43N,718377.326,3334924.166,30.12607233,77.26678039
2578,1101780.00,CH 1101+780,25780.00,43N,718368.086,3334927.989,30.12610846,77.26668532
2579,1101790.00,CH 1101+790,25790.00,43N,718358.845,3334931.813,30.12614459,77.26659026
2580,1101800.00,CH 1101+800,25800.00,43N,718349.605,3334935.636,30.12618073,77.26649520
2581,1101810.00,CH 1101+810,25810.00,43N,718340.365,3334939.460,30.12621686,77.26640013
2582,1101820.00,CH 1101+820,25820.00,43N,718331.125,3334943.283,30.12625299,77.26630507
2583,1101830.00,CH 1101+830,25830.00,43N,718321.885,3334947.107,30.12628912,77.26621001
2584,1101840.00,CH 1101+840,25840.00,43N,718312.644,3334950.930,30.12632526,77.26611494
2585,1101850.00,CH 1101+850,25850.00,43N,718303.404,3334954.754,30.12636139,77.26601988
2586,1101860.00,CH 1101+860,25860.00,43N,718294.164,3334958.577,30.12639752,77.26592481
2587,1101870.00,CH 1101+870,25870.00,43N,718284.924,3334962.401,30.12643366,77.26582975
2588,1101880.00,CH 1101+880,25880.00,43N,718275.684,3334966.224,30.12646979,77.26573469
2589,1101890.00,CH 1101+890,25890.00,43N,718266.444,3334970.048,30.12650592,77.26563962
2590,1101900.00,CH 1101+900,25900.00,43N,718257.203,3334973.871,30.12654205,77.26554456
2591,1101910.00,CH 1101+910,25910.00,43N,718247.963,3334977.695,30.12657819,77.26544949
2592,1101920.00,CH 1101+920,25920.00,43N,718238.723,3334981.518,30.12661432,77.26535443
2593,1101930.00,CH 1101+930,25930.00,43N,718229.483,3334985.342,30.12665045,77.26525937
2594,1101940.00,CH 1101+940,25940.00,43N,718220.243,3334989.165,30.12668658,77.26516430
2595,1101950.00,CH 1101+950,25950.00,43N,718211.003,3334992.989,30.12672271,77.26506924
2596,1101960.00,CH 1101+960,25960.00,43N,718201.762,3334996.812,30.12675885,77.26497417
2597,1101970.00,CH 1101+970,25970.00,43N,718192.522,3335000.636,30.12679498,77.26487911
2598,1101980.00,CH 1101+980,25980.00,43N,718183.282,3335004.459,30.12683111,77.26478404
2599,1101990.00,CH 1101+990,25990.00,43N,718174.042,3335008.283,30.12686725,77.26468898
2600,1102000.00,CH 1102+000,26000.00,43N,718164.803,3335012.109,30.12690339,77.26459392
2601,1102010.00,CH 1102+010,26010.00,43N,718155.563,3335015.934,30.12693954,77.26449887
2602,1102020.00,CH 1102+020,26020.00,43N,718146.324,3335019.759,30.12697569,77.26440381
2603,1102030.00,CH 1102+030,26030.00,43N,718137.084,3335023.584,30.12701183,77.26430875
2604,1102040.00,CH 1102+040,26040.00,43N,718127.845,3335027.409,30.12704798,77.26421369
2605,1102050.00,CH 1102+050,26050.00,43N,718118.605,3335031.234,30.12708412,77.26411863
2606,1102060.00,CH 1102+060,26060.00,43N,718109.365,3335035.059,30.12712027,77.26402357
2607,1102070.00,CH 1102+070,26070.00,43N,718100.126,3335038.884,30.12715641,77.26392852
2608,1102080.00,CH 1102+080,26080.00,43N,718090.886,3335042.709,30.12719256,77.26383346
2609,1102090.00,CH 1102+090,26090.00,43N,718081.647,3335046.534,30.12722870,77.26373840
2610,1102100.00,CH 1102+100,26100.00,43N,718072.407,3335050.359,30.12726485,77.26364334
2611,1102110.00,CH 1102+110,26110.00,43N,718063.168,3335054.184,30.12730099,77.26354828
2612,1102120.00,CH 1102+120,26120.00,43N,718053.928,3335058.009,30.12733714,77.26345322
2613,1102130.00,CH 1102+130,26130.00,43N,718044.689,3335061.834,30.12737328,77.26335816
2614,1102140.00,CH 1102+140,26140.00,43N,718035.449,3335065.659,30.12740943,77.26326311
2615,1102150.00,CH 1102+150,26150.00,43N,718026.210,3335069.484,30.12744557,77.26316805
2616,1102160.00,CH 1102+160,26160.00,43N,718016.970,3335073.309,30.12748172,77.26307299
2617,1102170.00,CH 1102+170,26170.00,43N,718007.731,3335077.135,30.12751786,77.26297793
2618,1102180.00,CH 1102+180,26180.00,43N,717998.491,3335080.960,30.12755401,77.26288287
2619,1102190.00,CH 1102+190,26190.00,43N,717989.252,3335084.785,30.12759015,77.26278781
2620,1102200.00,CH 1102+200,26200.00,43N,717980.012,3335088.610,30.12762629,77.26269275
2621,1102210.00,CH 1102+210,26210.00,43N,717970.773,3335092.435,30.12766244,77.26259769
2622,1102220.00,CH 1102+220,26220.00,43N,717961.533,3335096.260,30.12769858,77.26250263
2623,1102230.00,CH 1102+230,26230.00,43N,717952.293,3335100.085,30.12773473,77.26240757
2624,1102240.00,CH 1102+240,26240.00,43N,717943.054,3335103.910,30.12777087,77.26231251
2625,1102250.00,CH 1102+250,26250.00,43N,717933.814,3335107.735,30.12780702,77.26221745
2626,1102260.00,CH 1102+260,26260.00,43N,717924.575,3335111.560,30.12784316,77.26212239
2627,1102270.00,CH 1102+270,26270.00,43N,717915.335,3335115.385,30.12787930,77.26202733
2628,1102280.00,CH 1102+280,26280.00,43N,717906.096,3335119.210,30.12791545,77.26193227
2629,1102290.00,CH 1102+290,26290.00,43N,717896.856,3335123.035,30.12795159,77.26183721
2630,1102300.00,CH 1102+300,26300.00,43N,717887.617,3335126.860,30.12798773,77.26174215
2631,1102310.00,CH 1102+310,26310.00,43N,717878.377,3335130.685,30.12802388,77.26164709
2632,1102320.00,CH 1102+320,26320.00,43N,717869.138,3335134.510,30.12806002,77.26155203
2633,1102330.00,CH 1102+330,26330.00,43N,717859.898,3335138.335,30.12809617,77.26145697
2634,1102340.00,CH 1102+340,26340.00,43N,717850.659,3335142.161,30.12813231,77.26136191
2635,1102350.00,CH 1102+350,26350.00,43N,717841.419,3335145.986,30.12816845,77.26126685
2636,1102360.00,CH 1102+360,26360.00,43N,717832.180,3335149.811,30.12820460,77.26117179
2637,1102370.00,CH 1102+370,26370.00,43N,717822.940,3335153.636,30.12824074,77.26107673
2638,1102380.00,CH 1102+380,26380.00,43N,717813.701,3335157.461,30.12827688,77.26098167
2639,1102390.00,CH 1102+390,26390.00,43N,717804.461,3335161.286,30.12831302,77.26088661
2640,1102400.00,CH 1102+400,26400.00,43N,717795.221,3335165.111,30.12834917,77.26079155
2641,1102410.00,CH 1102+410,26410.00,43N,717785.982,3335168.936,30.12838531,77.26069649
2642,1102420.00,CH 1102+420,26420.00,43N,717776.742,3335172.761,30.12842145,77.26060143
2643,1102430.00,CH 1102+430,26430.00,43N,717767.503,3335176.586,30.12845760,77.26050637
2644,1102440.00,CH 1102+440,26440.00,43N,717758.263,3335180.411,30.12849374,77.26041131
2645,1102450.00,CH 1102+450,26450.00,43N,717749.024,3335184.236,30.12852988,77.26031624
2646,1102460.00,CH 1102+460,26460.00,43N,717739.784,3335188.061,30.12856602,77.26022118
2647,1102470.00,CH 1102+470,26470.00,43N,717730.545,3335191.886,30.12860217,77.26012612
2648,1102480.00,CH 1102+480,26480.00,43N,717721.305,3335195.711,30.12863831,77.26003106
2649,1102490.00,CH 1102+490,26490.00,43N,717712.066,3335199.536,30.12867445,77.25993600
2650,1102500.00,CH 1102+500,26500.00,43N,717702.826,3335203.361,30.12871059,77.25984094
2651,1102510.00,CH 1102+510,26510.00,43N,717693.587,3335207.187,30.12874674,77.25974588
2652,1102520.00,CH 1102+520,26520.00,43N,717684.347,3335211.012,30.12878288,77.25965081
2653,1102530.00,CH 1102+530,26530.00,43N,717675.108,3335214.837,30.12881902,77.25955575
2654,1102540.00,CH 1102+540,26540.00,43N,717665.868,3335218.662,30.12885516,77.25946069
2655,1102550.00,CH 1102+550,26550.00,43N,717656.628,3335222.487,30.12889131,77.25936563
2656,1102560.00,CH 1102+560,26560.00,43N,717647.389,3335226.312,30.12892745,77.25927057
2657,1102570.00,CH 1102+570,26570.00,43N,717638.149,3335230.137,30.12896359,77.25917551
2658,1102580.00,CH 1102+580,26580.00,43N,717628.910,3335233.962,30.12899973,77.25908044
2659,1102590.00,CH 1102+590,26590.00,43N,717619.670,3335237.787,30.12903587,77.25898538
2660,1102600.00,CH 1102+600,26600.00,43N,717610.431,3335241.612,30.12907202,77.25889032
2661,1102610.00,CH 1102+610,26610.00,43N,717601.191,3335245.437,30.12910816,77.25879526
2662,1102620.00,CH 1102+620,26620.00,43N,717591.952,3335249.262,30.12914430,77.25870019
2663,1102630.00,CH 1102+630,26630.00,43N,717582.712,3335253.087,30.12918044,77.25860513
2664,1102640.00,CH 1102+640,26640.00,43N,717573.473,3335256.912,30.12921658,77.25851007
2665,1102650.00,CH 1102+650,26650.00,43N,717564.233,3335260.737,30.12925272,77.25841501
2666,1102660.00,CH 1102+660,26660.00,43N,717554.994,3335264.562,30.12928886,77.25831994
2667,1102670.00,CH 1102+670,26670.00,43N,717545.754,3335268.387,30.12932501,77.25822488
2668,1102680.00,CH 1102+680,26680.00,43N,717536.515,3335272.212,30.12936115,77.25812982
2669,1102690.00,CH 1102+690,26690.00,43N,717527.275,3335276.038,30.12939729,77.25803476
2670,1102700.00,CH 1102+700,26700.00,43N,717518.036,3335279.863,30.12943343,77.25793969
2671,1102710.00,CH 1102+710,26710.00,43N,717508.796,3335283.688,30.12946957,77.25784463
2672,1102720.00,CH 1102+720,26720.00,43N,717499.556,3335287.513,30.12950571,77.25774957
2673,1102730.00,CH 1102+730,26730.00,43N,717490.317,3335291.338,30.12954185,77.25765450
2674,1102740.00,CH 1102+740,26740.00,43N,717481.077,3335295.163,30.12957799,77.25755944
2675,1102750.00,CH 1102+750,26750.00,43N,717471.838,3335298.988,30.12961413,77.25746438
2676,1102760.00,CH 1102+760,26760.00,43N,717462.598,3335302.813,30.12965027,77.25736931
2677,1102770.00,CH 1102+770,26770.00,43N,717453.359,3335306.638,30.12968641,77.25727425
2678,1102780.00,CH 1102+780,26780.00,43N,717444.119,3335310.463,30.12972256,77.25717919
2679,1102790.00,CH 1102+790,26790.00,43N,717434.880,3335314.288,30.12975870,77.25708412
2680,1102800.00,CH 1102+800,26800.00,43N,717425.640,3335318.113,30.12979484,77.25698906
2681,1102810.00,CH 1102+810,26810.00,43N,717416.401,3335321.938,30.12983098,77.25689400
2682,1102820.00,CH 1102+820,26820.00,43N,717407.161,3335325.763,30.12986712,77.25679893
2683,1102830.00,CH 1102+830,26830.00,43N,717397.922,3335329.588,30.12990326,77.25670387
2684,1102840.00,CH 1102+840,26840.00,43N,717388.682,3335333.413,30.12993940,77.25660880
2685,1102850.00,CH 1102+850,26850.00,43N,717379.443,3335337.238,30.12997554,77.25651374
2686,1102860.00,CH 1102+860,26860.00,43N,717370.203,3335341.064,30.13001168,77.25641868
2687,1102870.00,CH 1102+870,26870.00,43N,717360.963,3335344.889,30.13004782,77.25632361
2688,1102880.00,CH 1102+880,26880.00,43N,717351.724,3335348.714,30.13008396,77.25622855
2689,1102890.00,CH 1102+890,26890.00,43N,717342.484,3335352.539,30.13012010,77.25613348
2690,1102900.00,CH 1102+900,26900.00,43N,717333.245,3335356.364,30.13015624,77.25603842
2691,1102910.00,CH 1102+910,26910.00,43N,717324.005,3335360.189,30.13019238,77.25594335
2692,1102920.00,CH 1102+920,26920.00,43N,717314.766,3335364.014,30.13022852,77.25584829
2693,1102930.00,CH 1102+930,26930.00,43N,717305.526,3335367.839,30.13026466,77.25575322
2694,1102940.00,CH 1102+940,26940.00,43N,717296.287,3335371.664,30.13030080,77.25565816
2695,1102950.00,CH 1102+950,26950.00,43N,717287.047,3335375.489,30.13033693,77.25556309
2696,1102960.00,CH 1102+960,26960.00,43N,717277.808,3335379.314,30.13037307,77.25546803
2697,1102970.00,CH 1102+970,26970.00,43N,717268.568,3335383.139,30.13040921,77.25537297
