,,,,Dedicated Freight Corridor,,,,,,
,,,,GRADIENT,,,,,,
,,,,Division:,EDFC,Section:,ALL,,,
,,,,,,,,,,
DIV/RLY,SECTION,LINE,KM FROM,MET FROM,KM TO,MET TO,GAUGE,LENGTH (m),DIRECTION,GRADE (One in_)
EDFC/DFCR,NSIR - CHAN,SL,1248,499,1249,579,BG,1080,FALL,1280
EDFC/DFCR,NSIR - CHAN,SL,1249,579,1249,679,BG,100,FALL,2035
EDFC/DFCR,NSIR - CHAN,SL,1249,679,1249,720,BG,41,LEVEL,0
EDFC/DFCR,SBJN - NSIR,SL,1188,575,1189,12,BG,437,FALL,2923
EDFC/DFCR,SBJN - NSIR,SL,1189,12,1190,140,BG,1128,RISE,1219
EDFC/DFCR,SBJN - NSIR,SL,1190,140,1191,260,BG,1120,RISE,1978
EDFC/DFCR,SBJN - NSIR,SL,1191,260,1191,501,BG,241,LEVEL,0
EDFC/DFCR,SBJN - NSIR,SL,1191,501,1193,342,BG,1841,FALL,3834
EDFC/DFCR,SBJN - NSIR,SL,1193,342,1194,990,BG,1648,RISE,9858
EDFC/DFCR,SBJN - NSIR,SL,1194,990,1195,149,BG,159,LEVEL,0
EDFC/DFCR,SBJN - NSIR,SL,1195,149,1195,740,BG,591,FALL,4579
EDFC/DFCR,SBJN - NSIR,SL,1195,740,1196,210,BG,470,FALL,728
EDFC/DFCR,SBJN - NSIR,SL,1196,210,1196,770,BG,560,FALL,9999
EDFC/DFCR,SBJN - NSIR,SL,1196,770,1197,576,BG,806,RISE,1532
EDFC/DFCR,SBJN - NSIR,SL,1197,576,1199,72,BG,1496,FALL,7974
EDFC/DFCR,SBJN - NSIR,SL,1199,72,1200,578,BG,1506,FALL,8552
EDFC/DFCR,SBJN - NSIR,SL,1200,578,1202,15,BG,1437,FALL,2711
EDFC/DFCR,SMUN - RPJ Link Line,SL,1171,981,1172,413,,432,RISE,1182
EDFC/DFCR,SMUN - RPJ Link Line,SL,1172,413,1173,53,,640,LEVEL,0
EDFC/DFCR,SMUN - RPJ Link Line,SL,1173,53,1173,594,,541,FALL,391
EDFC/DFCR,SMUN - RPJ Link Line,SL,1173,594,1175,118,,1524,RISE,1343
EDFC/DFCR,SMUN - RPJ Link Line,SL,1175,118,1175,925,,807,FALL,332
EDFC/DFCR,SMUN - RPJ Link Line,SL,1175,925,1176,887,,962,RISE,248
EDFC/DFCR,SMUN - RPJ Link Line,SL,1176,887,1177,161,,274,LEVEL,0
EDFC/DFCR,SMUN - RPJ Link Line,SL,1177,161,1177,986,,825,FALL,244
EDFC/DFCR,SMUN - RPJ Link Line,SL,1177,986,1178,150,,164,FALL,508
EDFC/DFCR,SMUN - SBJN,SL,1170,435,1171,467,BG,1032,RISE,3905
EDFC/DFCR,SMUN - SBJN,SL,1171,467,1172,15,BG,548,RISE,1577
EDFC/DFCR,SMUN - SBJN,SL,1172,15,1172,414,BG,399,RISE,1182
EDFC/DFCR,SMUN - SBJN,SL,1172,414,1173,31,BG,617,LEVEL,0
EDFC/DFCR,SMUN - SBJN,SL,1173,31,1173,585,BG,554,FALL,431
EDFC/DFCR,SMUN - SBJN,SL,1173,585,1175,509,BG,1924,RISE,262
EDFC/DFCR,SMUN - SBJN,SL,1175,509,1176,169,BG,660,LEVEL,0
EDFC/DFCR,SMUN - SBJN,SL,1176,169,1176,918,BG,749,FALL,253
EDFC/DFCR,SMUN - SBJN,SL,1176,918,1177,214,BG,296,LEVEL,0
EDFC/DFCR,SMUN - SBJN,SL,1177,214,1178,552,BG,1338,FALL,227
EDFC/DFCR,SMUN - SBJN,SL,1178,552,1180,145,BG,1593,LEVEL,0
EDFC/DFCR,SMUN - SBJN,SL,1180,145,1180,658,BG,513,FALL,674
EDFC/DFCR,SMUN - SBJN,SL,1180,658,1180,791,BG,133,RISE,545
EDFC/DFCR,SMUN - SBJN,SL,1180,791,1181,296,BG,505,RISE,219
EDFC/DFCR,SMUN - SBJN,SL,1181,296,1181,585,BG,289,LEVEL,0
EDFC/DFCR,SMUN - SBJN,SL,1181,585,1183,348,BG,1763,FALL,1392
EDFC/DFCR,SMUN - SBJN,SL,1183,348,1185,251,BG,1903,LEVEL,0
EDFC/DFCR,SMUN - SBJN,SL,1185,251,1186,394,BG,1143,FALL,1119
EDFC/DFCR,SMUN - SBJN,SL,1186,394,1187,989,BG,1595,FALL,1668
EDFC/DFCR,SMUN - SBJN,SL,1187,989,1188,575,BG,586,FALL,2923
